"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
"m.facebook.com",806169915,167114731,0,0,805809852,49081281,436629127,1657019,24598,367964399,288266,401,845675,12805876,715,8545,0,0,0,781234,133124,398950,0
"youtube.com",64885706750,41635637647,3046357,3046355,57613911367,15222379227,5281272217,126887232,8326710,52325782996,23265621,2024646,1422405925,2830973512,7625918,5586565,3037951,144337904,19569256,37489421,746943,5745757,20903
"kiwifarms.net",1088062,408425,3828345,3828041,759818,15564,406867,99029,1,352844,145,328049,4,4244,48,0,797395,40175103,7083155,6550,2324,3309,23584
"fightingtheevilsofmammon.blogspot.com",25,21,877,877,14,0,13,8,0,1,11,0,0,0,0,0,877,375014,6067,9,15,16,58
"facebook.com",89957195897,74934800953,505,504,89727137145,22384907748,9243486130,52445855,9084359,80465891027,118386002,654790,1527838201,3243810596,117236,1256230,298,15762,134,59794677,824492,7588663,11
"disp.cc",299687,101639,4735344,4735235,299492,13231,100923,2669,0,198569,59,1,3,465,0,2,3247329,227538570,12583898,9573,2026,3978,44134
"m.youtube.com",70738268,60999708,49,49,65083244,19378212,5893126,615953,635,59158375,61399,46,63027,1714675,8647,4132129,0,44,5,305628,82659,208765,1
"ttoday.net",103995,102230,799132,797310,103995,8579,3693,6,0,100302,0,0,0,52,0,0,797225,101740539,681880,14488,442,703,1
"pesi.co.uk",250564,236530,15701,15700,250464,42015,786,6,1,249678,100,0,0,25,0,0,8322,533638,56806,489,322,392,589
"mindbodygreen.com",1786362,718862,43262,43260,1736640,90067,232897,5327,15162,1488230,2727,5870,95,3923,280,40358,26645,686247,128253,68520,19788,45857,7476
"yogajournal.com",1938813,663170,123522,123358,1837651,74406,278910,10747,280,1556155,100465,385,418,6521,96,69,14697,475368,322716,46235,12949,25474,2475
"quora.com",108187730,63046508,36375,36303,106734478,8144199,33728652,643824,53325,72981128,730073,1131,138880,5958830,6185,292,30867,186992,18808,463994,88634,241730,3487
"lonerwolf.com",70121,27674,3471,3468,70061,4594,11795,1446,87,58011,21,0,2,74,13,0,2239,69843,12822,5726,2756,4189,309
"centreofexcellence.com",118801,20620,4149,4149,114893,21288,20430,42,20,94442,74,1,1,520,0,0,3898,201534,38189,3243,1371,2083,140
"m.webtoons.com",27195,16400,15466,15461,26946,2200,11019,737,0,15918,234,0,0,81,0,0,3973,42836,7343,2232,1802,2427,60
"tiktok.com",3748410810,3380700350,3212558,3212426,3746459082,988309261,560374462,716596,256401,3185843156,536331,525,6056911,62757879,1496,373,3075801,195688867,598245,2418228,205835,746575,1586
"webtoons.com",2602930,816789,2134620,2132818,2479139,1070541,288910,11062,246,2187057,4149,2346,13,1833,117277,0,824198,134754006,6147376,22099,9903,19487,527
"archive.org",515681211,136754613,2048530,2047133,506733056,66766585,126111165,1339698,5985,380606041,2241776,546458,1012659,63438698,303312,160181,1470896,147380610,16052656,818755,129962,363591,126405
"deviantart.com",268009179,105601904,26036036,26035646,267903506,35864448,50885081,1699153,58505,216974826,65052,518,287130,8716576,7430,1878,13911911,1019409965,129776316,596845,84931,221871,161610
"victoriabelieves.com",79,41,43,43,4,0,4,0,0,0,0,39,0,0,0,36,21,131,38,3,4,5,3
"jasoncain.net",13792,1021,2628,2628,11915,1,75,1,0,11840,0,981,0,0,0,896,2403,62513,8164,17,23,24,51
"amazon.com",3783533202,1264921284,238843,154266,3668912384,1070955215,898372740,6231868,167118651,2719031127,16038170,1748768,1604848,50973494,51651,11008,43471,14416217,812357,4715211,300191,1148675,5256
"en.wikipedia.org",3859424791,1325446957,12314996,12314915,3831048500,152859949,280051731,16037115,252689,3550611499,1625345,19414506,16652377,153365176,174292,2396839,2232135,427951631,115301994,5676177,350355,1339872,1516029
"dc.fandom.com",438733,256550,146334,146334,365580,14426,70693,4877,45,294698,73147,1,1,1572,2,1,139142,19966789,2295826,12497,6294,10985,1110
"medium.com",864315986,469612321,11625829,11625551,860473076,68486676,174963498,6174071,143217,684331515,827183,2732916,6613985,15120768,80599,178275,10138171,123781271,28188910,1993539,215358,700856,850688
"nature.com",360665326,61150924,12124795,12124382,360153481,49654063,30664662,846236,11215,329468482,421611,24939,4394644,111709329,34499,195,1610549,168130889,112661818,599562,138531,375908,41026
"niddk.nih.gov",8829353,7309451,3049,3049,8598382,34229,436191,7303,388,8161811,1112,238,1043997,335713,148,8,2785,184595,27981,71962,23359,51568,462
"penntoday.upenn.edu",94807,83578,14884,14884,94068,9244,15747,371,11,78297,678,28,87,1487,25,0,14443,818403,181385,16735,7188,13560,4343
"who.int",79027912,51199415,5708052,5707037,78938506,16883344,4091343,213565,4215,74842111,27856,12938,5853876,16907174,2157,8,3652722,185004491,3346612,684318,145037,399004,11110
"yogitimes.com",14560,11119,0,0,14421,1606,3451,56,9,10955,134,0,0,131,1,0,0,0,0,2442,1365,1836,0
"reddit.com",3922414256,1949774666,6751594,6751261,3914268964,609207606,1624675778,7677715,293035,2288259501,1954113,417810,18655495,87325662,43620,24244,1210630,252054290,31306419,2453779,237051,907618,317918
"imdb.com",1681069827,279653949,9402605,9402423,1675770998,99862722,323022090,1963671,468908,1352650945,155562,3177887,209847,59287097,13588,736,5769937,798407125,25016087,1237444,138364,441017,157933
"reelgood.com",1385577,429817,3066910,3066274,1381490,492136,353575,1037,10,1027909,3767,3,7,3947,12,0,2904047,100340009,8276174,40770,4731,9237,765
"instagram.com",49728982710,43766104477,62707,62136,49663690132,12767919367,5672339066,13505330,6792597,43987063079,18200461,58539,574942211,1634003371,28116,73795,55866,456636,57365,34890654,635821,5174962,505
"yokaiwatch.fandom.com",3479,2063,2037,2037,3025,30,1068,25,0,1957,452,0,0,2,0,0,1873,368230,135030,428,389,467,113
"dailymotion.com",346278798,158729711,15968647,15968521,296717580,72658301,38489733,553744,9710,258057649,52174,1036772,564945,5680866,39515,2281,10672699,299824205,17126275,725145,91113,295842,29251
"rottentomatoes.com",69214908,19068565,8568373,8566528,69185731,30612493,16950491,53138,1701,52232436,3194,13572,276,172829,1686,1459,6447232,446303260,58927352,152529,36831,93853,5873
"yokaiwatchfans.com",4572,1764,15980,15980,4571,173,410,10,0,4161,1,0,0,2,0,0,9454,97161,9093,179,146,163,183
"twitter.com",76519248943,54804529296,3957109,3957054,76254385850,17152353906,8370747438,43158617,6797150,67866246887,37508450,540162,1427221195,2980457787,223859,4040685,1782611,56454180,3512714,39875850,744534,6252840,4692
"yokaiwatch-archive.fandom.com",1894,1170,8,8,912,0,49,0,0,863,982,0,0,0,0,0,8,854,479,31,33,37,34
"doi.gov",22981527,6657079,95553,95386,22979285,162494,113575,3687,147,22865458,1972,97,15558805,6643281,86,0,48707,1884793,787704,38591,16430,34919,2013
"towns.fetchyournews.com",280,255,5382,5381,277,27,62,7,0,215,3,0,0,0,0,0,5350,255843,83952,114,110,123,620
"blm.gov",1919934,1134444,2908702,2908644,1918206,131172,278878,15070,426,1639042,1337,210,503117,90263,65,0,2874164,125183109,18326780,47552,18079,37563,1435
"colorado.edu",86593734,18862211,1468278,1442395,86527365,858453,2492473,57253,1567,84033067,8115,3903,15720,15756866,1566,10,1397464,53579431,5814117,157842,48003,100157,28148
"archives.gov",49184415,23584610,159948,159684,49089011,22544948,2820218,65009,795,46267835,25733,395,7521130,19536774,1540,41,140862,12482728,836222,212985,54345,137302,8267
"louisck.com",27594,15953,511,511,27567,380,6087,86,3,21469,27,0,0,32,0,0,356,9208,667,2196,1310,1736,42
"everand.com",70779315,5478719,1184113,1184069,70604281,13219802,33077,2235,72,70571142,174980,45,16,1832,9,0,1167273,308145134,35278814,13954,5218,9242,11623
"watchcomedy.live",361,349,1171,1170,361,4,21,1,0,340,0,0,0,0,0,0,1148,16796,3340,112,45,46,80
"adl.org",1496732,788430,66975,66973,1495985,42367,191518,9295,51,1304328,429,18,1982,14981,166,3,1223,114058,12145,50761,19031,39769,878
"splcenter.org",3038930,1174650,63348,63346,3024658,65635,261542,15970,30,2762850,512,3678,174683,18928,74,16,42715,3233241,470469,47853,17828,38018,5731
"last.fm",134494441,61572916,2798551,2798488,134370089,29758784,10648834,501178,306,123686765,109927,217,71181,629829,2053,1072,2718448,214866032,52594080,241143,48679,109343,82214
"soundcloud.com",771138599,467713967,2957315,2957203,675301508,79456935,112024784,13082618,119675,563150993,953044,5433,7148070,27261972,454362,776671,2841496,119472763,54325307,1843136,190379,669986,12224
"health.pa.gov",841789,469073,7232,7227,817548,51131,60055,1076,194,757332,24198,2,3686,8220,18,0,4220,361233,77518,15926,7989,14747,824
"leadingage.org",5011952,2618446,9946,9946,5009185,4421010,12541,334,0,4996642,327,420,553,1448,0,1076,3844,179400,33811,5256,3257,4715,1894
"legis.state.pa.us",1947613,671589,285504,285454,1945649,7479,132972,10869,20,1812296,390,11,19355,8767,22,0,234203,17395638,3696188,21399,9138,18340,236
"phila.gov",3079144,914429,187747,187536,3071208,167918,125938,2304,797,2944630,1096,451,1311,17812,70,2,122493,16287529,1186124,31026,12292,25169,3268
"porh.psu.edu",5060,2916,1060,1060,5050,524,3366,6,0,1683,1,0,7,33,6,0,1025,127537,12580,510,385,501,308
"employmentlawwatch.com",8527,7008,1378,1377,8512,127,1006,7,0,7506,14,0,0,25,1,0,1199,57818,36074,587,446,577,108
"elc-pa.org",18431,11770,1680,1680,18409,588,1979,42,0,16430,21,0,46,960,0,0,1502,72745,8440,1876,1241,1554,264
"pennstatehealthnews.org",34037,15946,264300,264289,33760,5552,3031,19,0,30729,167,61,1,12641,12,0,262573,15499707,3694388,2293,1229,2125,722
"watch.plex.tv",156184,102440,1938,1938,155699,81463,55900,108,3072,99749,485,0,0,32,0,0,1924,92812,15654,3237,1965,3583,8
"thetvdb.com",47122265,17871077,5988930,5988614,45281924,5271144,824012,12747,1,44457857,1840315,0,170,1342,9,0,4349891,229447261,18154548,19934,6056,11808,20082
"tv.apple.com",19420196,12173302,77451,77433,19390863,5663382,11790351,7385,567628,7457464,11043,107,29,41040,150,0,74725,1243504,2072,67107,21444,58478,3
