Keyword,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date
lala sotto,"Thumbnail, People also ask, Image pack, Knowledge panel",500,0,,0,19,19,0,39,9,30,,https://adobochronicles.com/2023/09/05/lala-sottos-spiritual-conviction-video/,,https://adobochronicles.com/2023/11/02/mtrcbs-lala-sotto-on-12-day-leave-after-meltdown-on-satirical-post/,1/20/2024 7:15,4/22/2024 16:39
is martin sheen gay,,500,0,,26,16,-10,0,6,9,-3,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,1/20/2024 23:48,4/16/2024 9:42
amanda barrameda,,80,0,,,12,,0,,2,New,,,,https://adobochronicles.com/2023/10/18/meta-suspends-abs-cbn-account-for-community-violations/,,3/30/2024 18:11
apple jetpack,"Image pack, People also ask",100,26,,,12,,0,,1,New,,,Image pack,https://adobochronicles.com/2023/06/26/apple-unveils-the-new-jetpack-119k/,,3/31/2024 10:49
apa selfies,Image pack,90,7,0,5,9,4,0,8,4,4,,https://adobochronicles.com/2014/03/31/american-psychiatric-association-makes-it-official-selfie-a-mental-disorder/,,https://adobochronicles.com/2014/03/31/american-psychiatric-association-makes-it-official-selfie-a-mental-disorder/,1/9/2024 4:59,3/8/2024 2:42
cynthia patag duterte,"People also ask, Image pack",40,0,0,4,8,4,0,2,2,,Image pack,https://adobochronicles.com/2016/12/19/davao-city-mayor-sara-duterte-to-cynthia-patag-are-you-high-on-drugs/,,https://adobochronicles.com/2016/12/19/davao-city-mayor-sara-duterte-to-cynthia-patag-are-you-high-on-drugs/,1/17/2024 4:42,3/13/2024 22:36
mabuhay aloha mabuhay,"Thumbnail, Knowledge panel, Image pack",20,0,,,8,,0,,1,New,,,,https://adobochronicles.com/2023/09/23/is-it-aloha-for-darryl-yaps-mabuhay-aloha-mabuhay/,,4/13/2024 2:08
alma moreno tweets,Image pack,70,0,0,8,8,0,0,1,4,-3,Image pack,https://adobochronicles.com/2016/05/10/the-curious-case-of-alma-morenos-vanishing-twitter-page/,,https://adobochronicles.com/2016/05/10/the-curious-case-of-alma-morenos-vanishing-twitter-page/,1/21/2024 16:30,3/17/2024 11:54
mrs philippines globe 2015,"People also ask, Image pack",70,0,0,8,8,0,0,3,3,,,https://adobochronicles.com/2015/10/12/philippines-stripped-of-miss-globe-2015-crown/,,https://adobochronicles.com/2015/10/12/philippines-stripped-of-miss-globe-2015-crown/,1/16/2024 10:49,3/13/2024 8:50
ginger pride festival 2016,Image pack,40,0,0,8,7,0,0,2,2,,,https://adobochronicles.com/2015/07/01/san-francisco-to-host-ginger-pride-in-2016/,,https://adobochronicles.com/2015/07/01/san-francisco-to-host-ginger-pride-in-2016/,1/18/2024 2:22,3/15/2024 17:14
