"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
"twitter.com",84701892214,63890668508,3534148,3534089,84395906069,19521512484,9143748292,56694341,7734546,75222218543,40888866,563089,1529767934,3457585993,1991645,2330721,1645538,52969659,3306895,41767141,783955,6670133,3453
"youtube.com",80965025170,52867987441,3226300,3226241,72541686724,18932434939,6709341580,143163468,7541391,65824463584,42713674,2071543,1610390950,3555035428,7983789,6628004,3176397,508238317,30719848,40739526,803248,6364618,25479
"facebook.com",113080162011,95337801617,523,522,112813980334,27352456147,12056978583,93969679,9755265,100726694258,148245698,510334,1772895564,3907677774,222547,1852522,298,15780,134,65699228,877314,8271045,11
"en.wikipedia.org",3989627703,1442650915,12322381,12321465,3964088436,153749098,330576271,16646330,223676,3632617306,1488265,20273074,15123784,140194588,210507,660687,2296707,441756258,114636005,5834310,378624,1438289,1553765
"foxnews.com",117373597,39134124,3417417,3416473,116622774,4056751,9113503,670367,22165,107496831,110824,298604,56385,503773,34997,1166,2037701,119747282,27259513,506547,87962,246329,54427
"play.google.com",22255901305,11213352123,9416691,9416649,22251244586,11523993922,1762269339,3360542,677721,20488530825,4172683,291865,350395477,589240212,9274,404,8497086,357326581,117162016,3753906,433979,1849208,482650
"apps.apple.com",13072672276,8602860681,1186173,1185566,13070987917,7957385123,1270744568,2328162,515221,11799713682,1453283,213919,109719105,271846982,5898,149,723498,69131989,2292395,2665096,393771,1471149,270814
"subscribe.blazemedia.com",222925,222921,3,3,222921,0,17,4,0,222900,2,0,0,0,2,0,2,2,25,20,25,25,4
"link.springer.com",425985039,90252284,8182041,8180944,423505824,79927736,29824524,301287,4506,393672849,1105220,1286396,7624402,241575487,59519,70,457720,45840860,85470296,556325,137871,361533,160475
"johnmooremuseum.org",2468,1909,3541,3539,2464,65,324,17,0,2140,4,0,8,5,0,0,1681,92075,32419,361,283,333,45
"es.pinterest.com",137809755,129122551,9067,9063,136148348,24089919,20333566,116464,1652,115802769,1641216,69,790,914141,27,9,8537,555801,32306,75934,23781,61569,2634
"linkedin.com",26820743258,24293284847,19706,19694,26787311229,6514626443,3063443458,6644386,3355549,23718646208,19444137,4051504,423311921,1422214734,45329,6926,11945,445082,38716,21699479,644757,4373334,1560
"annieholmquist.substack.com",376,306,275,275,375,2,37,0,0,338,0,0,0,0,1,0,270,4164,1291,41,44,47,177
"cnn.com",383368300,98024259,4642727,4621810,380397244,23342442,54812869,1861558,44055,325516633,601987,1789979,282880,12271935,105253,24274,2223205,125713838,16488726,1410283,173588,531589,100778
"podcasts.apple.com",414235937,257244798,650292,646539,410257820,101270439,25503479,657544,33370,384695127,131954,9948,2219328,15451302,4352,12694,473242,75713958,428609,745107,125077,383651,71385
"audible.com",32634154,18814480,5596754,5596535,32127543,2658009,1416981,787846,11686,30698233,47364,456516,1818,258261,1510,1,5136550,232937465,16898616,123889,35807,82986,27581
"get.blazetv.com",389414,132061,210,210,389022,4353,18594,3527,25,369427,271,1,0,3,104,0,125,806,62,1969,1721,2587,4
"m.facebook.com",867377171,228476028,0,0,867061027,66457110,526742445,3353255,22734,337757297,242036,414,1636372,16515856,3194,7424,0,0,0,832280,144180,423040,0
"virginiatech.sportswar.com",94200,65480,263072,262857,86678,4302,3766,333,1,82910,7477,5,68,251,38,0,232211,8667951,2052770,2598,1727,2214,1219
"thedmvdaily.com",1272,885,35319,35318,1266,176,679,0,0,587,5,0,1,2,0,0,17855,158228,28630,325,270,304,828
"true-crime.quora.com",35,35,3,3,35,0,9,0,0,26,0,0,0,0,0,0,3,0,0,13,14,15,0
"ministrywatch.com",147551,72628,25841,25841,146436,8922,4407,388,0,142028,1092,0,65,131,3,4,24858,639010,81896,3527,2253,3258,5185
"shop.blazemedia.com",318525,315410,8118,8118,318473,451,5178,5,0,313291,52,0,0,2,0,0,5634,48233,1900,601,726,995,6
"music.amazon.com",51982982,22381036,4222,4220,51333431,6862122,27211546,31336,1837,24119931,349476,25,19474,6306440,59,0,2735,75496,2190,116271,33902,76840,617
"adamlamberttv.blogspot.com",3272,2801,6599,6599,3228,49,984,82,0,2244,44,0,1,1,0,0,6597,625802,533222,295,188,206,2797
"glambert-fic.livejournal.com",23,22,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,4,4,0
"tommys-taco.livejournal.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cultureedit.com",224206,101158,273116,273056,123844,11620,87,0,22,123735,1,100361,0,9,0,0,167283,33648394,73810,545,394,509,83
"motorcycleridernews.com",786,561,2926,2926,786,237,31,6,0,755,0,0,0,1,0,0,2837,50089,12521,70,70,81,397
"theknot.com",21101270,10100415,17750881,17743886,21000145,5903461,2470836,26929,4667,18524044,8778,90425,13330,48095,728,24,12328746,468999439,50821238,158109,30700,71695,102813
"news.wttw.com",1041579,665507,91924,91886,1040840,304971,32965,1385,19,1007827,404,126,301,10395,174,1,82871,6852160,994399,28289,10693,21379,13089
"ilsos.gov",2342416,1715866,1326,1326,2342158,35392,38172,312,110,2303973,235,0,1016840,1606,1,0,1052,12853,6338,11458,5676,9777,368
"quora.com",430272612,81134252,41968,41913,429061314,10177681,59005792,1116876,31720,370020799,1087395,1585,140756,6401123,7476,152,26656,223804,20140,478580,99363,268329,3079
