"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
"nationalpost.com",139808998,54397285,2152230,2152152,133586027,3216521,1010884,73348,5362,132569988,24070,6193950,831,81404,1797,294,1947040,117215217,62639421,121350,33229,72740,37322
"illawarramercury.com.au",896871,487670,226985,226887,868256,137178,92143,2597,2,776099,785,27741,96,2868,59,0,145921,6605458,1595506,19546,5420,15996,5607
"theweek.com",13337801,3929254,394285,394274,13320138,177804,613756,19674,1917,12703834,3984,6235,201,12931,1517,5409,210051,10145400,3127160,83622,24290,49847,20850
"militarytimes.com",271855059,11759846,6745272,6743522,266596994,91822,568699,35603,33,266028059,3776,5247434,1914,777160,541,7,4855835,517231063,130618438,48457,19737,39921,11410
"losangeles.cbslocal.com",1365801,876554,279971,279970,1343958,195650,219502,7557,4426,1124243,9184,8067,1486,5851,222,1871,88854,9649900,2032769,64795,16558,33772,9301
"newsok.com",2742794,1315955,904409,903932,2724780,31667,146253,10462,3,2578486,1536,15982,1179,13611,98,2,525511,21682268,14692114,41446,14244,25929,9842
"newsday.com",15291125,6114845,352002,349446,14860197,926579,1015898,28394,48,13843169,5145,2352,74957,529380,2839,39,258092,34840511,4232998,168638,27559,58483,9312
"asianage.com",2651277,2216188,1343590,1343580,2644779,87640,64838,1788,43,2579851,4253,1934,775,4079,0,2,1327735,115280476,10173859,15391,7075,10888,1914
"theconversation.com",35376203,16508113,1302896,1302870,35159283,2272183,2646919,94358,8886,32502120,29062,53558,20509,12380613,34399,915,1126599,81395520,11495609,443515,73115,183243,148645
"vancouversun.com",20055575,8583642,5893253,5893006,17401222,1182922,389993,20380,1244,17009649,6050,2646737,10950,25334,521,192,4212731,251959466,71050347,74384,21640,44164,76318
"houstonpress.com",1099656,665993,124304,123685,1093325,64131,173743,3145,17,919521,592,5133,128,4828,68,207,64509,5776923,444797,38027,10337,18220,10428
"adn.com",2262536,967338,110683,110527,2254938,59001,302268,14851,99,1952433,2203,4201,2205,13154,294,9,57203,8203358,1676801,60524,17632,35137,10303
"time.com",128007545,42976173,1827818,1827597,127908357,4875912,8054995,191217,8607,119836212,29816,36552,17059,53938233,9665,2720,1203269,72911461,24032730,824070,105351,292622,63967
