nodes,label,type,id,orig_label,new_id,preds,confidence
qpress.de,-1,url,14517,-1,14517,0,0.9925943
herbalremedies.one,-1,url,27921,-1,27921,0,0.98686385
arthritistreatment.one,-1,url,27922,-1,27922,0,0.98557717
homeopathicmedicine.one,-1,url,27923,-1,27923,0,0.9848819
botanicals.one,-1,url,27924,-1,27924,0,0.98070055
microtaxe.ch,-1,url,39912,-1,39912,0,0.9798091
anti-zensur.info,-1,url,40610,-1,40610,0,0.9790515
peymani.de,-1,url,14519,-1,14519,0,0.9788494
luzifer-lux.blogspot.com,-1,url,14516,-1,14516,0,0.9773966
mindbodyspirit.one,-1,url,27925,-1,27925,0,0.97476804
parolesdedieu.fr,-1,url,39913,-1,39913,0,0.97457236
emfprotection.one,-1,url,27926,-1,27926,0,0.974066
beischneider.net,-1,url,14518,-1,14518,0,0.9730686
libre-antenne.org,-1,url,26836,-1,26836,0,0.97293985
norberthaering.de,-1,url,20972,-1,20972,0,0.968257
peds-ansichten.de,-1,url,20975,-1,20975,0,0.9666204
wakeup.icu,-1,url,43504,-1,43161,0,0.96377176
darkness2light.net,-1,url,31159,-1,31159,0,0.9609612
qaggregator.news,-1,url,31160,-1,31160,0,0.9595804
vintel1776.net,-1,url,31161,-1,31161,0,0.9576405
alpenschau.com,-1,url,23052,-1,23052,0,0.9571719
pierrecassen.com,-1,url,31807,-1,31807,0,0.9571287
hnewswire.com,-1,url,40942,-1,40942,0,0.9561728
abeldanger.live,-1,url,42644,-1,42644,0,0.95508164
resistthemainstream.com,-1,url,31289,-1,31289,0,0.9547968
agencepress.blogspot.com,-1,url,39914,-1,39914,0,0.9538165
holisticdentistry.one,-1,url,27928,-1,27928,0,0.95375586
communities.win,-1,url,23488,-1,23488,0,0.95366436
blauerbote.com,-1,url,31835,-1,31835,0,0.95332384
censoredrevolution.blogspot.com,-1,url,41469,-1,41469,0,0.9532179
stiftlandgriller.de,-1,url,21874,-1,21874,0,0.9531091
tryandstopus.news,-1,url,31158,-1,31158,0,0.95290965
schweizerzeitung.ch,-1,url,20970,-1,20970,0,0.95284164
revolutionvibratoire.fr,-1,url,39855,-1,39855,0,0.9524516
neulandrebellen.de,-1,url,20973,-1,20973,0,0.9524435
tvs24.ru,-1,url,39188,-1,39188,0,0.95144814
alles-schallundrauch.blogspot.com,-1,url,23313,-1,23313,0,0.95114774
frankfurter-erklaerung.de,-1,url,39853,-1,39853,0,0.95085657
funktionell-entspannen.de,-1,url,21873,-1,21873,0,0.9501015
vera-lengsfeld.de,-1,url,32156,-1,32156,0,0.94978374
galliawatch.blogspot.com,-1,url,31806,-1,31806,0,0.94912577
humanumgenus.blogspot.com,-1,url,41468,-1,41468,0,0.9486594
phmcgpe.com,-1,url,30444,-1,30444,0,0.94856817
bonsens.org,-1,url,41934,-1,41934,0,0.9485069
phmcgpe.net,-1,url,30443,-1,30443,0,0.94845283
luigiscudella.it,-1,url,41847,-1,41847,0,0.9474432
zellerzeitung.de,-1,url,20639,-1,20639,0,0.9473195
alfiokrancic.com,-1,url,40689,-1,40689,0,0.9471204
geoarchitektur.blogspot.com,-1,url,14521,-1,14521,0,0.9465436
theync.com,-1,url,37775,-1,37775,0,0.9464498
drinkypoisonjhwhwins.blogspot.com,-1,url,41471,-1,41471,0,0.9459961
femminismorivoluzionario.blogspot.com,-1,url,40651,-1,40651,0,0.94486994
anarchistfederation.net,-1,url,37196,-1,37196,0,0.94409156
lesbrindherbes.org,-1,url,20018,-1,20018,0,0.94406486
mmstestimonials.co,-1,url,32084,-1,32084,0,0.9435282
prabelsblog.de,-1,url,14515,-1,14515,0,0.94317174
cityperugia.com,-1,url,41850,-1,41850,0,0.94297785
smoking-mirrors.com,-1,url,39407,-1,39407,0,0.9429352
trp.red,-1,url,43253,-1,43025,0,0.94290024
kingdominusuniusrei.blogspot.com,-1,url,41466,-1,41466,0,0.94259965
jhwh1osannauniusrei3.blogspot.com,-1,url,43235,-1,43012,0,0.94235677
o-netz.com,-1,url,21871,-1,21871,0,0.9423322
o-netz.net,-1,url,21872,-1,21872,0,0.94227904
mafeuilledechou.fr,-1,url,13649,-1,13649,0,0.94218594
altmod.de,-1,url,23483,-1,23483,0,0.9420719
ilcovodijack.blogspot.com,-1,url,29985,-1,29985,0,0.94183075
misteroufo.blogspot.com,-1,url,40891,-1,40891,0,0.9415702
nientecomelillusione.blogspot.com,-1,url,29990,-1,29990,0,0.94080335
axelkra.us,-1,url,32161,-1,32161,0,0.9405963
oberpfalznet.de,-1,url,21870,-1,21870,0,0.9404267
victoiredelalumiere.blogspot.com,-1,url,39854,-1,39854,0,0.939966
elcuartocerebrodelhombrenoosferico.blogspot.com,-1,url,40889,-1,40889,0,0.9397566
